# Kestrel CFD Core Tracking File
# ------------------------------------------------------------------------------
# Job name = pykes
# Job description = 
# Number of dimensions in simulation = 2
# Body path = airfoil
# Mesh path:name = naca64A010.avm:naca64A010
# Output coordinate system = xByUzL
# Moment reference location (m) = 0.250000, 0.000000, 0.000000
# Reference area (m^2) = 1.000000                                         [AREA]
# Moment reference length about x-axis (m) = 1.000000                     [LENX]
# Moment reference length about y-axis (m) = 1.000000                     [LENY]
# Moment reference length about z-axis (m) = 1.000000                     [LENZ]
# Reference Mach = 0.800000                                               [MACH]
# Reference static pressure (N/m^2) = 101325.000000             [STATICPRESSURE]
# Reference dynamic pressure (N/m^2) = 45393.600000            [DYNAMICPRESSURE]
# Reference temperature (K) = 410.592770                           [TEMPERATURE]
# Reference angle of attack (deg) = 4.000000                     [ANGLEOFATTACK]
# Reference angle of sideslip (deg) = 0.000000                 [ANGLEOFSIDESLIP]
# ------------------------------------------------------------------------------
 VARIABLES =
  "ITER"           "TIME"   "SUBIT"   "SWEEPSP"    "URES(total)"    "SRES(total)"             "Y+"   "SUPER"     "LRES(mass)"     "LRES(xmom)"     "LRES(ymom)"     "LRES(zmom)"   "LRES(energy)"     "URES(mass)"     "URES(xmom)"     "URES(ymom)"     "URES(zmom)"   "URES(energy)"     "SRES(mass)"     "SRES(xmom)"     "SRES(ymom)"     "SRES(zmom)"   "SRES(energy)"
      70   7.00000000E+01         3          18   8.95671638E-01   3.29095277E-05   4.56289525E-01      3646   7.36322112E-07   9.33288378E-15   5.90763687E-15   0.00000000E+00   9.25453089E-07   1.00531986E+00   9.64443176E-01   1.04510305E+00   0.00000000E+00   9.88978952E-01   2.03153648E-05   4.14508605E-05   1.79710375E-05   0.00000000E+00   5.44181862E-05
      71   7.10000000E+01         3          19   8.94619897E-01   3.44814060E-05   4.54084635E-01      3670   5.95524057E-07   7.25514530E-15   4.60325497E-15   0.00000000E+00   7.51300666E-07   1.00824068E+00   9.58499717E-01   1.04212963E+00   0.00000000E+00   9.90160924E-01   2.15768175E-05   4.23187109E-05   2.02456596E-05   0.00000000E+00   5.72583418E-05
      72   7.20000000E+01         3          19   8.88913500E-01   3.58221556E-05   4.52406193E-01      3692   6.49412775E-07   7.61171620E-15   4.88676486E-15   0.00000000E+00   8.21093218E-07   1.00500062E+00   9.51648830E-01   1.03516357E+00   0.00000000E+00   9.81636743E-01   2.28523926E-05   4.28248874E-05   2.26803092E-05   0.00000000E+00   5.95443945E-05
      73   7.30000000E+01         3          19   8.80433132E-01   3.71067665E-05   4.51056893E-01      3709   6.97710634E-07   7.87625454E-15   5.10857915E-15   0.00000000E+00   8.84233182E-07   9.98732984E-01   9.46601015E-01   1.01463010E+00   0.00000000E+00   9.76123565E-01   2.42141490E-05   4.30524290E-05   2.47688467E-05   0.00000000E+00   6.18969159E-05
      74   7.40000000E+01         3          19   8.72727347E-01   3.80344881E-05   4.49931127E-01      3728   7.12393241E-07   7.82860780E-15   5.02273257E-15   0.00000000E+00   9.07042665E-07   9.92577882E-01   9.41134013E-01   9.98189731E-01   0.00000000E+00   9.70019737E-01   2.53615942E-05   4.30588414E-05   2.64181784E-05   0.00000000E+00   6.35446064E-05
      75   7.50000000E+01         3          19   8.64699308E-01   3.86139354E-05   4.48956627E-01      3750   7.11260757E-07   7.62953728E-15   4.93340021E-15   0.00000000E+00   9.07604397E-07   9.84315764E-01   9.35322722E-01   9.84423621E-01   0.00000000E+00   9.62147849E-01   2.62496619E-05   4.28475096E-05   2.75698835E-05   0.00000000E+00   6.45765262E-05
      76   7.60000000E+01         3          19   8.60121447E-01   3.91079320E-05   4.48358146E-01      3766   6.67141527E-07   6.90251968E-15   4.62493125E-15   0.00000000E+00   8.49373168E-07   9.77920264E-01   9.35245224E-01   9.72227439E-01   0.00000000E+00   9.60628260E-01   2.69866833E-05   4.27335058E-05   2.81909057E-05   0.00000000E+00   6.55590648E-05
      77   7.70000000E+01         3          19   8.56058424E-01   3.93806508E-05   4.48212805E-01      3775   6.47579290E-07   6.11510536E-15   4.65569634E-15   0.00000000E+00   8.14394070E-07   9.68835513E-01   9.39837414E-01   9.62028201E-01   0.00000000E+00   9.57468145E-01   2.73829597E-05   4.28621967E-05   2.83114429E-05   0.00000000E+00   6.60730360E-05
      78   7.80000000E+01         3          19   8.45870657E-01   3.91970116E-05   4.47504552E-01      3781   6.57724199E-07   5.64491374E-15   4.78702032E-15   0.00000000E+00   8.20755023E-07   9.53520041E-01   9.35143214E-01   9.54879713E-01   0.00000000E+00   9.39147099E-01   2.73565907E-05   4.29674098E-05   2.80668691E-05   0.00000000E+00   6.55720833E-05
      79   7.90000000E+01         3          19   8.53306964E-01   3.95966921E-05   4.46316174E-01      3777   6.88956608E-07   5.94059479E-15   5.00225521E-15   0.00000000E+00   8.60919857E-07   9.62715903E-01   9.43932465E-01   9.51266768E-01   0.00000000E+00   9.58084027E-01   2.75024827E-05   4.37576272E-05   2.76173744E-05   0.00000000E+00   6.63751028E-05
      80   8.00000000E+01         3          19   8.78078038E-01   4.21310827E-05   4.45931036E-01      3787   6.31225369E-07   5.76990165E-15   4.61548847E-15   0.00000000E+00   7.94949140E-07   9.83130714E-01   9.83540112E-01   9.44516499E-01   0.00000000E+00   1.01444400E+00   2.82351508E-05   4.70001261E-05   2.67436019E-05   0.00000000E+00   7.17891693E-05
      81   8.10000000E+01         3          19   8.28684967E-01   3.81708572E-05   4.46434841E-01      3786   6.13931061E-07   5.13044707E-15   4.48384353E-15   0.00000000E+00   7.79103099E-07   9.31167671E-01   9.25853607E-01   9.35018060E-01   0.00000000E+00   9.13814517E-01   2.57534687E-05   4.50953022E-05   2.55854461E-05   0.00000000E+00   6.27186514E-05
      82   8.20000000E+01         3          19   8.28830481E-01   3.68743672E-05   4.46657661E-01      3798   7.69871778E-07   5.36332205E-15   5.43113332E-15   0.00000000E+00   9.90728786E-07   9.23630672E-01   9.27814036E-01   9.50412449E-01   0.00000000E+00   9.04203243E-01   2.42172690E-05   4.59128755E-05   2.47241536E-05   0.00000000E+00   5.91002772E-05
      83   8.30000000E+01         3          20   8.18442764E-01   3.55657563E-05   4.46992569E-01      3814   6.85173402E-07   4.75884800E-15   4.82219785E-15   0.00000000E+00   8.97409469E-07   9.27779276E-01   9.19655540E-01   8.88491614E-01   0.00000000E+00   9.23734132E-01   2.29677303E-05   4.56605526E-05   2.19820677E-05   0.00000000E+00   5.68243003E-05
      84   8.40000000E+01         3          20   7.96944384E-01   3.40225851E-05   4.49124656E-01      3822   6.82422174E-07   5.03552441E-15   4.94880523E-15   0.00000000E+00   9.13616087E-07   9.38026354E-01   8.59213917E-01   9.00483301E-01   0.00000000E+00   8.64054157E-01   2.11720865E-05   4.54651526E-05   1.97395108E-05   0.00000000E+00   5.36907427E-05
      85   8.50000000E+01         3          20   8.17031026E-01   3.21346679E-05   4.51003073E-01      3836   6.11528126E-07   4.58722342E-15   4.65192760E-15   0.00000000E+00   8.20268900E-07   9.17384327E-01   9.12350556E-01   9.18806261E-01   0.00000000E+00   9.05271230E-01   1.92464303E-05   4.47687313E-05   1.82301382E-05   0.00000000E+00   4.95598838E-05
      86   8.60000000E+01         3          20   8.10358687E-01   3.17343874E-05   4.52102152E-01      3857   6.84636838E-07   4.45968721E-15   5.19223179E-15   0.00000000E+00   8.85979974E-07   9.15128815E-01   9.23535054E-01   8.47392726E-01   0.00000000E+00   9.35389669E-01   1.77108085E-05   4.49826946E-05   1.48180765E-05   0.00000000E+00   4.97862006E-05
      87   8.70000000E+01         3          21   8.04485792E-01   2.99370764E-05   4.52657755E-01      3890   7.12912074E-07   4.45961628E-15   5.23581582E-15   0.00000000E+00   9.13199034E-07   9.23766882E-01   9.03142311E-01   8.61831096E-01   0.00000000E+00   9.07867182E-01   1.64804759E-05   4.30665609E-05   1.22477032E-05   0.00000000E+00   4.69553161E-05
      88   8.80000000E+01         3          22   8.40504075E-01   2.89998295E-05   4.54127371E-01      3947   5.94375252E-07   4.09663783E-15   4.33641806E-15   0.00000000E+00   7.74960665E-07   9.71290258E-01   9.14675542E-01   9.20746426E-01   0.00000000E+00   9.51012832E-01   1.60337939E-05   4.16104582E-05   1.09690358E-05   0.00000000E+00   4.57833815E-05
      89   8.90000000E+01         3          21   8.73178020E-01   2.88375686E-05   4.57008612E-01      3985   7.29724435E-07   5.53058863E-15   5.07154559E-15   0.00000000E+00   9.39460961E-07   1.00707286E+00   9.15264037E-01   1.01071292E+00   0.00000000E+00   9.68893524E-01   1.64871768E-05   4.03920082E-05   1.13907937E-05   0.00000000E+00   4.60970207E-05
      90   9.00000000E+01         3          21   8.99888258E-01   2.93494919E-05   4.58862367E-01      4015   7.50048753E-07   5.26921009E-15   4.98654670E-15   0.00000000E+00   8.87673961E-07   1.03669310E+00   9.17302049E-01   1.06931232E+00   0.00000000E+00   9.94680807E-01   1.77106901E-05   3.92403564E-05   1.31359730E-05   0.00000000E+00   4.77591401E-05
      91   9.10000000E+01         3          22   8.99607081E-01   2.96076091E-05   4.58035337E-01      4020   8.28121465E-07   5.16161483E-15   5.74421657E-15   0.00000000E+00   9.87046596E-07   1.02842052E+00   9.15128272E-01   1.08649115E+00   0.00000000E+00   9.85339009E-01   1.87659869E-05   3.80653730E-05   1.57086649E-05   0.00000000E+00   4.83234473E-05
      92   9.20000000E+01         3          24   9.04240719E-01   3.06470142E-05   4.56144777E-01      3991   7.25332824E-07   4.95732181E-15   5.01788374E-15   0.00000000E+00   8.92470785E-07   1.03023690E+00   9.20122624E-01   1.08663250E+00   0.00000000E+00   9.99736213E-01   2.03761080E-05   3.71060749E-05   1.89662376E-05   0.00000000E+00   5.04423697E-05
      93   9.30000000E+01         3          24   8.99980630E-01   3.19244494E-05   4.55948271E-01      3956   7.62025368E-07   5.61815272E-15   5.33070994E-15   0.00000000E+00   9.56837834E-07   1.02636050E+00   9.25272610E-01   1.06053711E+00   0.00000000E+00   1.00774075E+00   2.20261870E-05   3.64094901E-05   2.21994191E-05   0.00000000E+00   5.28415959E-05
      94   9.40000000E+01         3          24   8.94371707E-01   3.34661044E-05   4.56094156E-01      3933   7.45074328E-07   5.61860274E-15   5.36183799E-15   0.00000000E+00   9.42988190E-07   1.02002251E+00   9.32947295E-01   1.03391312E+00   0.00000000E+00   1.00979743E+00   2.37103471E-05   3.61787513E-05   2.49283593E-05   0.00000000E+00   5.57440134E-05
      95   9.50000000E+01         3          24   8.88169969E-01   3.50935830E-05   4.55233026E-01      3920   7.18878353E-07   4.99573628E-15   5.49686551E-15   0.00000000E+00   9.03163284E-07   1.00889705E+00   9.43719856E-01   1.01361116E+00   0.00000000E+00   1.00416207E+00   2.51979233E-05   3.67298959E-05   2.71092137E-05   0.00000000E+00   5.86418603E-05
      96   9.60000000E+01         3          25   8.80682177E-01   3.61743536E-05   4.53721703E-01      3921   8.11729339E-07   5.38258431E-15   6.41099061E-15   0.00000000E+00   9.87831712E-07   9.83577563E-01   9.43602265E-01   1.02454407E+00   0.00000000E+00   9.85142063E-01   2.58131094E-05   3.74502654E-05   2.94466726E-05   0.00000000E+00   6.00580866E-05
      97   9.70000000E+01         3          29   8.75195637E-01   3.74660150E-05   4.53448665E-01      3916   7.98422521E-07   5.04808979E-15   6.27854530E-15   0.00000000E+00   8.91236470E-07   9.84727976E-01   9.39721295E-01   1.00602228E+00   0.00000000E+00   9.82339493E-01   2.66730702E-05   3.81774690E-05   3.18072204E-05   0.00000000E+00   6.19503052E-05
      98   9.80000000E+01         3          32   8.75706114E-01   3.87526825E-05   4.56607953E-01      3905   9.21862303E-07   5.51796689E-15   6.94950526E-15   0.00000000E+00   9.58443468E-07   9.78197793E-01   9.53636971E-01   9.97798798E-01   0.00000000E+00   9.86108087E-01   2.73099868E-05   3.93716746E-05   3.35976275E-05   0.00000000E+00   6.39068643E-05
      99   9.90000000E+01         3          32   8.49751732E-01   3.88284118E-05   4.59942819E-01      3916   1.42173393E-06   9.14338061E-15   1.06108729E-14   0.00000000E+00   1.44036153E-06   9.66338229E-01   9.31891431E-01   9.40903118E-01   0.00000000E+00   9.60656097E-01   2.74153136E-05   4.00896486E-05   3.30579124E-05   0.00000000E+00   6.39266994E-05
     100   1.00000000E+02         3          32   8.55499847E-01   3.90510409E-05   4.60983320E-01      3911   1.76931435E-06   1.28738174E-14   1.31046847E-14   0.00000000E+00   1.74208298E-06   9.57032875E-01   9.47602168E-01   9.55181676E-01   0.00000000E+00   9.66005233E-01   2.72014150E-05   4.10450922E-05   3.27370673E-05   0.00000000E+00   6.42540802E-05
