# Database statistics for 'fuselage' extracted on 2017-03-21 21:20:37 
#
#mach,alpha,config,Label,CA,CY,CN,CLL,CLM,CLN,CA_min,CA_max,CA_std,CA_err,CY_min,CY_max,CY_std,CY_err,CN_min,CN_max,CN_std,CN_err,CLL_min,CLL_max,CLL_std,CLL_err,CLM_min,CLM_max,CLM_std,CLM_err,CLN_min,CLN_max,CLN_std,CLN_err,nOrders,nIter,nStats
1.1,2,poweroff,,0.519249544554,0.000221645445545,0.137633287129,-1.46611940594e+178,0.0600514752475,2.87349405941e+175,0.518605,0.519311,0.000136555978059,4.01857227984e-05,0.000217913,0.000228604,1.43144498395e-06,2.72230674773e-07,0.136913,0.13769,0.000109478361408,2.46236674766e-05,-3.66325e+179,3.61165e+179,inf,inf,0.059929,0.061504,0.0002211274707,4.97049338149e-05,-2.09605e+177,2.41852e+177,inf,inf,3.33592485595,200,100
1.1,5,poweroff,,0.515459663366,0.000298148741584,0.363057564356,3.12635049505e+178,0.0947485346535,-6.38553861386e+175,0.515032,0.5155,9.08974263845e-05,2.6709075107e-05,0.0002074085,0.000320383,2.75213710233e-05,8.39399069353e-06,0.362004,0.363126,0.000176491180934,4.60748152895e-05,-5.98502e+179,6.1914e+179,inf,inf,0.094546,0.097065,0.00043181790635,0.000120692878378,-2.41852e+177,2.25728e+177,inf,inf,3.20282704884,200,100
1.1,10,poweroff,,0.503779425743,0.000451187889109,0.784626306931,4.94494831683e+178,0.0922822772277,7.98183168317e+174,0.503712,0.503953,2.77604129191e-05,3.60332766995e-06,0.000398843,0.000999103,0.000117982567734,3.22977261655e-05,0.783476,0.785125,0.000180798654083,2.03352213591e-05,-6.60416e+179,8.25521e+179,inf,inf,0.09135,0.09641,0.000529062090328,3.87465616488e-05,-2.41852e+177,1.93481e+177,inf,inf,2.63066130321,200,100
1.4,0,poweroff,,0.685007227723,-0.000266239584158,0.00473307207921,8.30755643564e+177,0.0193753605941,2.95330257426e+175,0.68488,0.685015,2.12988547027e-05,5.17004414253e-06,-0.000268974,-0.000218344,8.14069935603e-06,1.84094794524e-06,0.0047304,0.00476018,5.55905510826e-06,1.5645879336e-06,-2.42819e+179,2.99251e+179,inf,inf,0.01922856,0.01938609,2.89221624166e-05,7.94834842954e-06,-6.44938e+176,6.44938e+176,inf,inf,4.39158486641,200,100
1.4,1,poweroff,,0.684957960396,-8.06571861386e-05,0.0684171514851,-3.47371980198e+177,0.0386637633663,3.19275247525e+174,0.684956,0.684969,2.71015980705e-06,8.1082405215e-07,-0.000135099,-6.9328e-05,1.9878933146e-05,6.12267971315e-06,0.0683291,0.0684584,2.51401954743e-05,7.32008101995e-06,-2.37337e+179,3.1473e+179,inf,inf,0.0385568,0.0388574,5.61392852737e-05,1.62714231336e-05,-6.44938e+176,7.25555e+176,inf,inf,4.35147036728,200,100
1.4,2,poweroff,,0.685538772277,-0.000161760680198,0.133550366337,2.71768089109e+178,0.0566846831683,-1.03765722772e+175,0.685529,0.68554,2.17947758351e-06,6.36854895876e-07,-0.0001666376,-0.0001597562,1.70413080536e-06,5.25314858421e-07,0.133544,0.133552,1.78399247588e-06,5.31986748883e-07,-2.78613e+179,4.07601e+179,inf,inf,0.056683,0.056689,1.4414699117e-06,4.15074847122e-07,-8.06172e+176,1.04802e+177,inf,inf,4.74427503575,200,100
1.4,5,poweroff,,0.686640009901,0.000192503980198,0.339564564356,8.17345544554e+177,0.101966930693,-5.26805346535e+175,0.686461,0.686654,3.08395705205e-05,6.40766944551e-06,0.00017007,0.000242146,1.44332288875e-05,3.91060601926e-06,0.339544,0.339612,7.34229014585e-06,1.01916778319e-06,-2.47656e+179,3.30208e+179,inf,inf,0.10187,0.102013,2.36091345914e-05,5.50214719563e-06,-1.04802e+177,7.25555e+176,inf,inf,4.40083017564,200,100
1.4,10,poweroff,,0.681145059406,-0.000573274891089,0.688320861386,1.83902950495e+178,0.204735693069,3.99096435644e+174,0.681129,0.681147,4.01685010866e-06,1.21591753237e-06,-0.000591574,-0.000571297,4.28862387608e-06,1.27939229049e-06,0.688314,0.688343,4.19813655734e-06,1.05193833348e-06,-4.95312e+179,4.54036e+179,inf,inf,0.204727,0.204799,1.64248921055e-05,5.00224108192e-06,-1.12864e+177,1.04802e+177,inf,inf,4.57671812851,200,100
2.2,0,poweroff,,0.826172194059,-0.000250296775248,0.00170645390099,-2.11134554455e+176,0.0055742755198,5.18823366337e+174,0.823456,0.9319908,0.0133133425556,0.00233531139517,-0.0004568467,1.9637e-05,5.46123305756e-05,8.1281803723e-06,-0.00204772,0.00361437,0.000534325149254,5.72382418989e-05,-2.02511e+179,2.17989e+179,inf,inf,0.001368281,0.00708265,0.00101598728866,0.000267355929131,-2.01543e+176,2.62006e+176,inf,inf,1.48417412444,200,100
2.2,1,poweroff,,0.825897428713,-0.000282513283861,0.0560722405941,-6.15564673267e+177,0.0226398762376,-6.58504554455e+174,0.8232597,0.9318755,0.0133406360236,0.00234722922768,-0.0004506661,1.99714e-05,6.14723334475e-05,1.08815982349e-05,0.0551659,0.0829371,0.00306469437467,0.000505192470597,-1.54785e+179,1.75423e+179,inf,inf,0.0102457,0.1451393,0.0123944998683,0.00074336050494,-2.41852e+176,2.41852e+176,inf,inf,1.48520385066,200,100
