# Database statistics for 'cap' extracted on 2017-04-09 19:35:55 
#
#mach,alpha,beta,q,T,config,Label,CA,CY,CN,CA_min,CA_max,CA_std,CA_err,CY_min,CY_max,CY_std,CY_err,CN_min,CN_max,CN_std,CN_err,nOrders,nIter,nStats
1.1,30,0,1250,475.33,bullet,,0.313312765,0.00131253122745,0.584276969,0.313312765,0.313312765,5.55111512313e-17,0,0.00131253118,0.00131253124,1.65497629914e-11,5.99738886195e-12,0.584276969,0.584276969,1.11022302463e-16,0,8.62936697262,200,50
1.25,0,0,1250,475.33,bullet,,0.584414339,0.0012575083,-0.000206197154412,0.584414339,0.584414339,1.11022302463e-16,0,0.0012575083,0.0012575083,2.16840434497e-19,0,-0.000206197156,-0.000206197154,6.31725632518e-13,2.15449685269e-13,8.90112961724,200,50
1.25,4,0,1250,475.33,bullet,,0.582065319118,0.00142872941392,0.0756509249706,0.582065255,0.582065411,5.80134017798e-08,4.03758142194e-09,0.00142820077,0.0014292381,5.16725672325e-07,2.69604346852e-08,0.0756503209,0.0756515018,5.8561793417e-07,3.08557373013e-08,2.29983481322,200,50
1.25,10,0,1250,475.33,bullet,,0.568435666,0.0016644131398,0.187736738,0.568435666,0.568435666,0,0,0.00166441313,0.00166441314,1.3864839092e-12,1.85201067148e-13,0.187736738,0.187736738,0,1.02828658593e-17,9.8684318132,200,50
1.25,30,0,1250,475.33,bullet,,0.447414312,0.00216677341471,0.533534058,0.447414312,0.447414312,5.55111512313e-17,2.05657317186e-17,0.00216677337,0.00216677343,1.49971161565e-11,5.31842079773e-12,0.533534058,0.533534058,0,0,9.49133735627,200,50
1.5,0,0,1250,475.33,bullet,,0.689211155,-8.64580725902e-05,-4.60016669275e-05,0.689211155,0.689211155,1.11022302463e-16,0,-8.64580731e-05,-8.64580699e-05,7.99817357011e-13,2.8627995157e-13,-4.60016677e-05,-4.60016668e-05,2.27586168235e-13,8.09464976835e-14,9.93682875967,200,50
1.5,10,0,1250,475.33,bullet,,0.674357811,0.000759626154804,0.174577319,0.674357811,0.674357811,0,0,0.000759626141,0.000759626156,3.08709909174e-12,1.00606973388e-12,0.174577319,0.174577319,2.77555756156e-17,0,10.1309288913,200,50
1.5,30,0,1250,475.33,bullet,,0.560531466,0.000375910401784,0.481850242,0.560531466,0.560531466,0,0,0.000375910356,0.000375910415,1.55970255132e-11,5.6487640175e-12,0.481850242,0.481850242,0,2.05657317186e-17,9.74558114832,200,50
1.75,0,0,1250,475.33,bullet,,0.748529664,-8.39196406843e-05,3.79334928078e-05,0.748529664,0.748529664,2.22044604925e-16,4.11314634371e-17,-8.39196415e-05,-8.39196405e-05,2.59994382226e-13,9.35647335409e-14,3.79334923e-05,3.79334951e-05,7.12587975346e-13,2.55926159603e-13,10.2876349251,200,50
1.75,4,0,1250,475.33,bullet,,0.746231699,-6.4997084498e-06,0.0669252943,0.746231699,0.746231699,0,0,-6.4997111e-06,-6.49969691e-06,3.62684948909e-12,1.30726215838e-12,0.0669252943,0.0669252943,1.38777878078e-17,0,10.1945849663,200,50
1.75,10,0,1250,475.33,bullet,,0.734564747,2.15919972078e-05,0.166519542137,0.734564747,0.734564747,0,4.11314634371e-17,2.15919615e-05,2.1592248e-05,5.42698408397e-11,1.77430740723e-11,0.166519542,0.166519543,3.44116250305e-10,1.09566426921e-10,9.55478086092,200,50
1.75,30,0,1250,475.33,bullet,,0.629046274,-0.000516314628137,0.456638802,0.629046274,0.629046274,0,0,-0.000516314684,-0.000516314613,1.87460004802e-11,6.78986098678e-12,0.456638802,0.456638802,0,0,4.50986420112,200,50
